path,kind,bytes,loc
backend/tests/test_sync.py,.py,4580,142
backend/tests/test_sync_service.py,.py,4880,163
backend/tests/test_verification.py,.py,3235,111
backend/tests/test_version_check.py,.py,4520,113
backend/tests/test_websocket_manager.py,.py,1979,74
backend/tests/test_websocket_service.py,.py,2298,87
backend/tests/utils/in_memory_db.py,.py,20514,591
backend/tests/verification_output.txt,.txt,5980,110
backend/tests/verify_integration_flow.py,.py,2169,73
backend/tests/verify_operational.py,.py,2812,86
backend/tests/verify_security_api.py,.py,2672,84
backend/tests/verify_token_claims.py,.py,879,34
backend/utils/__init__.py,.py,16,1
backend/utils/api_utils.py,.py,7122,222
backend/utils/async_utils.py,.py,10680,325
backend/utils/auth_utils.py,.py,4669,126
backend/utils/crypto_utils.py,.py,622,17
backend/utils/db_connection.py,.py,7167,228
backend/utils/erp_utils.py,.py,15967,423
backend/utils/error_handler_with_diagnosis.py,.py,8880,272
backend/utils/logging_config.py,.py,3086,112
backend/utils/pagination.py,.py,6937,247
backend/utils/pdf_generator.py,.py,4849,125
backend/utils/port_detector.py,.py,8502,229
backend/utils/result.py,.py,14260,421
backend/utils/result_types.py,.py,4020,125
backend/utils/secret_generator.py,.py,2980,92
backend/utils/service_manager.py,.py,8426,219
backend/utils/structured_logging.py,.py,5183,173
backend/utils/tracing.py,.py,5065,148
backend/utils/validation.py,.py,15842,527
backend_port.json,.json,132,1
check_items.py,.py,565,20
check_mongo_items.py,.py,1200,41
check_mongo_sample.py,.py,884,29
check_sessions.py,.py,793,28
clean_sessions.py,.py,1088,39
cooking_agent/app.py,.py,3052,89
cooking_agent/requirements.txt,.txt,52,3
cooking_agent/test_agent.py,.py,1224,44
docker-compose.yml,.yml,447,25
docs/API_CONTRACTS.md,.md,10097,382
docs/APP_LOGIC_OVERVIEW.md,.md,43122,928
docs/BACKEND_CONNECTION_PARAMETERS.md,.md,13634,570
docs/CHANGELOG.md,.md,1266,33
docs/CODEBASE_PROBLEMS_RESOLUTION.md,.md,8593,256
docs/COMPLETE_UPGRADE_SUMMARY.md,.md,10533,475
docs/COMPREHENSIVE_APP_REVIEW.md,.md,12733,301
docs/CONSISTENCY_FIXES_SUMMARY.md,.md,7921,212
docs/CONSTITUTION.md,.md,1171,23
docs/DEPLOYMENT_STATUS.md,.md,1480,29
docs/DEPLOY_MANUAL.md,.md,1163,43
docs/DEVELOPER_CHECKLIST.md,.md,4272,110
docs/ENHANCEMENT_IMPLEMENTATION_PLAN.md,.md,4490,125
docs/ENTERPRISE_FEATURES_GUIDE.md,.md,13873,536
docs/ENVIRONMENT_VARIABLES.md,.md,1386,45
docs/ERP_POLICY.md,.md,2270,92
docs/FEATURES_SUMMARY.txt,.txt,8923,272
docs/FEATURE_INTEGRATION_GUIDE.md,.md,11501,490
docs/FEATURE_ROADMAP.md,.md,19235,829
docs/FRONTEND_HEALTH_CHECK.md,.md,6545,240
docs/GOVERNANCE_PLAN.md,.md,4398,116
docs/IMPLEMENTATION_COMPLETE.md,.md,2581,45
docs/INTEGRATION_CHECKLIST.md,.md,7878,370
docs/INTEGRATION_COMPLETE.md,.md,8243,358
docs/INTEGRATION_GUIDE.md,.md,8014,388
docs/LAN_DEPLOYMENT_PLAN.md,.md,11985,449
docs/NEW_COMPONENTS_GUIDE.md,.md,7054,364
docs/NEW_FEATURES_GUIDE.md,.md,14046,590
docs/OFFICIAL_REFERENCES_ALL_IN_ONE.md,.md,3839,149
docs/PENDING_WORK.md,.md,1121,35
docs/PHASE_1_UPGRADE_GUIDE.md,.md,8352,404
docs/PHASE_2_IMPLEMENTATION_LOG.md,.md,8928,387
